	0	1
6	##an	I-COMPANY
7	gin	I-COMPANY
8	ke	I-COMPANY
9	##e	I-COMPANY
10	(	I-COMPANY
11	81	I-COMPANY
12	##10	O
13	##9	O
14	-	O
15	a	O
16	)	O
17	no	O
18	290	O
19	,	B-ADDRESS
20	jalan	I-ADDRESS
21	air	I-ADDRESS
22	pan	I-ADDRESS
23	##as	I-ADDRESS
24	,	I-ADDRESS
25	set	I-ADDRESS
26	##apa	I-ADDRESS
27	##k	I-ADDRESS
28	,	I-ADDRESS
29	53	I-ADDRESS
30	##200	I-ADDRESS
31	,	I-ADDRESS
32	kuala	I-ADDRESS
33	lumpur	I-ADDRESS
34	.	I-ADDRESS
35	tel	I-ADDRESS
36	:	I-ADDRESS
37	03	I-ADDRESS
38	-	I-ADDRESS
39	402	I-ADDRESS
40	##10	I-ADDRESS
41	##27	O
42	##6	O
43	gs	O
44	##t	O
45	id	O
46	:	O
47	000	O
48	##75	O
49	##0	O
50	##6	O
51	##7	O
52	##39	O
53	##20	O
54	simplified	O
55	tax	O
56	in	O
57	##vo	O
58	##ice	O
59	cash	O
60	doc	O
61	no	O
62	.	O
63	:	O
64	cs	O
65	##00	O
66	##01	O
67	##19	O
68	##8	O
69	##3	O
70	date	O
71	:	O
72	04	O
73	/	O
74	12	O
75	/	O
76	2017	O
77	cash	O
78	##ier	O
79	:	O
80	user	O
81	time	O
82	:	O
83	16	O
84	:	B-TOTAL
85	15	I-TOTAL
86	:	I-TOTAL
87	00	I-TOTAL
88	sales	I-TOTAL
89	##person	O
90	:	O
91	ref	O
92	.	O
93	:	O
94	it	O
95	q	O
96	##ty	O
97	s	O
98	/	O
99	price	O
100	amount	O
101	tax	O
102	147	O
103	##6	O
104	3	O
105	15	O
106	.	O
107	90	O
108	47	O
109	.	O
110	70	O
111	sr	O
112	25	O
113	##k	O
114	##g	O
115	si	O
116	##ka	O
117	cream	O
118	-	O
119	88	O
120	total	O
121	q	O
122	##ty	O
123	:	O
124	3	O
125	47	O
126	.	O
127	70	O
128	45	O
129	.	O
130	00	O
131	total	O
132	sales	O
133	(	O
134	excluding	O
135	gs	O
136	##t	O
137	)	O
138	:	O
139	discount	O
140	:	O
141	0	O
142	.	O
143	00	O
144	total	O
145	gs	O
146	##t	O
147	:	O
148	2	O
149	.	O
150	70	O
151	rounding	O
152	:	O
153	0	O
154	.	O
155	00	O
156	total	O
157	sales	O
158	(	O
159	inclusive	O
160	of	O
161	gs	O
162	##t	O
163	)	O
164	:	O
165	47	O
166	.	O
167	70	O
168	cash	O
169	:	O
170	47	O
171	.	O
172	70	O
173	change	O
174	:	O
175	0	O
176	.	O
177	00	O
178	gs	O
179	##t	O
180	summary	O
181	tax	O
182	code	O
183	%	O
184	am	O
185	##t	O
186	(	O
187	rm	O
188	)	O
189	tax	O
190	(	O
191	rm	O
192	)	O
193	sr	O
194	6	O
195	45	O
196	.	O
197	00	O
198	2	O
199	.	O
200	70	O
201	total	O
202	:	O
203	45	O
204	.	O
205	00	O
206	2	O
207	.	O
208	70	O
209	goods	O
210	sold	O
211	are	O
212	not	O
213	return	O
214	##able	O
215	.	O
216	thank	O
217	you	O
218		
0	tax	O
1	in	O
2	##vo	O
3	##ice	O
4	domino	O
5	'	O
6	s	O
7	pizza	O
8	gs	O
9	##t	O
10	ref	O
11	no	O
12	:	O
13	001	O
14	##6	O
15	##9	O
16	##42	O
17	##6	O
18	##12	O
19	##48	O
20	domino	O
21	'	O
22	s	O
23	pizza	O
24	sega	O
25	##mb	O
26	##ut	O
27	d	O
28	-	O
29	08	O
30	,	O
31	m	O
32	avenue	O
33	,	B-ADDRESS
34	j	I-ADDRESS
35	##ln	I-ADDRESS
36	1	I-ADDRESS
37	/	I-ADDRESS
38	38	I-ADDRESS
39	##a	I-ADDRESS
40	sega	I-ADDRESS
41	##mb	I-ADDRESS
42	##ut	I-ADDRESS
43	baha	I-ADDRESS
44	##gia	I-ADDRESS
45	512	I-ADDRESS
46	##00	I-ADDRESS
47	kuala	I-ADDRESS
48	lumpur	I-ADDRESS
49	carry	I-ADDRESS
50	out	I-ADDRESS
51	now	I-ADDRESS
52	pay	I-ADDRESS
53	by	I-ADDRESS
54	:	I-ADDRESS
55	cash	I-ADDRESS
56	order	I-ADDRESS
57	:	O
58	1955	O
59	by	O
60	:	O
61	52	O
62	##24	O
63	order	O
64	time	O
65	:	O
66	12	O
67	:	O
68	54	O
69	:	O
70	37	O
71	date	O
72	:	O
73	26	O
74	/	O
75	03	O
76	/	O
77	18	O
78	name	O
79	:	O
80	ms	O
81	ying	O
82	pickup	O
83	time	O
84	:	O
85	13	O
86	:	O
87	09	O
88	:	O
89	37	O
90	q	O
91	##ty	O
92	menu	O
93	des	B-TOTAL
94	##c	I-TOTAL
95	coup	I-TOTAL
96	##on	O
97	disc	O
98	price	O
99	1	O
100	9	O
101	""""	O
102	h	O
103	##t	O
104	(	O
105	b	O
106	##q	O
107	)	O
108	2	O
109	2	O
110	##p	O
111	##2	O
112	##c	O
113	-	O
114	r	O
115	-	O
116	2	O
117	30	O
118	.	O
119	30	O
120	1	O
121	9	O
122	""""	O
123	nyc	O
124	(	O
125	cp	O
126	)	O
127	2	O
128	2	O
129	##p	O
130	##2	O
131	##c	O
132	-	O
133	r	O
134	-	O
135	2	O
136	30	O
137	.	O
138	30	O
139	27	O
140	.	O
141	60	O
142	60	O
143	.	O
144	60	O
145	total	O
146	items	O
147	:	O
148	sub	O
149	-	O
150	total	O
151	:	O
152	60	O
153	.	O
154	60	O
155	coup	O
156	##on	O
157	discount	O
158	:	O
159	27	O
160	.	O
161	60	O
162	grand	O
163	total	O
164	:	O
165	33	O
166	.	O
167	00	O
168	payment	O
169	:	O
170	50	O
171	.	O
172	00	O
173	change	O
174	due	O
175	:	O
176	17	O
177	.	O
178	00	O
179	*	O
180	6	O
181	%	O
182	gs	O
183	##t	O
184	included	O
185	:	O
186	1	O
187	.	O
188	87	O
189	support	O
190	our	O
191	smile	O
192	campaign	O
193	:	O
194	)	O
195	did	O
196	we	O
197	smile	O
198	at	O
199	you	O
200	?	O
201	let	O
202	us	O
203	know	O
204	at	O
205	www	O
206	.	O
207	domino	O
208	##s	O
209	.	O
210	com	O
211	.	O
212	my	O
213	/	O
214	smile	O
215	and	O
216	receive	O
217	a	O
218	30	O
219	%	O
220	off	O
221	side	O
222	item	O
223	e	O
224	-	O
225	coup	O
226	##on	O
227	upon	O
228	survey	O
229	submission	O
230	survey	O
231	code	O
232	:	O
233	cbc	O
234	##26	O
235	##19	O
236	##40	O
237	##19	O
238	##55	O
239	##54	O
240	thank	O
241	you	O
242	for	O
243	visiting	O
244	domino	O
245	'	O
246	s	O
247	.	O
248	please	O
249	come	O
250	again	O
251	!	O
252	1	O
253	-	O
254	300	O
255	-	O
256	88	O
257	##8	O
258	-	O
259	333	O
260	www	O
261	.	O
262	domino	O
263	##s	O
264	.	O
265	com	O
266	.	O
267	my	O
268	we	O
269	are	O
270	compliant	O
271	to	O
272	the	O
273	pd	O
274	##pa	O
275	2010	O
276	.	O
277	visit	O
278	www	O
279	.	O
280	domino	O
281	##s	O
282	.	O
283	com	O
284	.	O
285	my	O
286	/	O
287	terms	O
288	to	O
289	view	O
290	our	O
291	personal	O
292	data	O
293	protection	O
294	policy	O
295	.	O
296	owned	O
297	by	O
298	dom	O
299	##mal	O
300	food	O
301	services	O
302	sd	O
303	##n	O
304	b	O
305	##hd	O
306	co	O
307	.	O
308	no	O
309	.	O
310	41	O
311	##90	O
312	##60	O
313	-	O
314	a	O
315	1	O
316		
0	s	B-COMPANY
1	&	I-COMPANY
2	y	I-COMPANY
3	station	I-COMPANY
4	##ery	I-COMPANY
5	(	I-COMPANY
6	00	O
7	##20	O
8	##50	O
9	##59	O
10	##0	O
11	-	O
12	h	O
13	)	O
14	no	O
15	.	O
16	36	B-ADDRESS
17	##g	I-ADDRESS
18	jalan	I-ADDRESS
19	bu	I-ADDRESS
20	##lan	I-ADDRESS
21	b	I-ADDRESS
22	##m	I-ADDRESS
23	u	I-ADDRESS
24	##5	I-ADDRESS
25	/	I-ADDRESS
26	b	I-ADDRESS
27	##m	I-ADDRESS
28	,	I-ADDRESS
29	banda	I-ADDRESS
30	##r	I-ADDRESS
31	ping	I-ADDRESS
32	##gi	I-ADDRESS
33	##ran	I-ADDRESS
34	sub	I-ADDRESS
35	##ang	I-ADDRESS
36	,	I-ADDRESS
37	se	I-ADDRESS
38	##ks	I-ADDRESS
39	##yen	I-ADDRESS
40	u	I-ADDRESS
41	##5	I-ADDRESS
42	,	I-ADDRESS
43	401	I-ADDRESS
44	##50	I-ADDRESS
45	shah	I-ADDRESS
46	alam	I-ADDRESS
47	,	I-ADDRESS
48	selangor	I-ADDRESS
49	.	I-ADDRESS
50	tel	I-ADDRESS
51	/	I-ADDRESS
52	fa	I-ADDRESS
53	##x	I-ADDRESS
54	:	I-ADDRESS
55	01	I-ADDRESS
56	##6	I-ADDRESS
57	##33	I-ADDRESS
58	##0	I-ADDRESS
59	##7	I-ADDRESS
60	##49	I-ADDRESS
61	##1	O
62	/	O
63	03	O
64	##7	O
65	##8	O
66	##31	O
67	##7	O
68	##49	O
69	##1	O
70	email	O
71	:	O
72	s	O
73	##ny	O
74	##station	O
75	##ery	O
76	@	O
77	hot	O
78	##mail	O
79	.	O
80	com	O
81	tel	O
82	:	O
83	01	O
84	##6	O
85	##33	O
86	##0	O
87	##7	O
88	##49	O
89	##1	O
90	/	O
91	03	O
92	##7	O
93	##8	O
94	##31	O
95	##7	O
96	##49	O
97	##1	O
98	fa	O
99	##x	O
100	:	O
101	03	O
102	##7	O
103	##8	O
104	##31	O
105	##7	O
106	##49	O
107	##1	O
108	e	O
109	-	O
110	mail	O
111	:	O
112	s	O
113	##ny	O
114	##station	O
115	##ery	O
116	@	O
117	hot	O
118	##mail	O
119	,	O
120	.	O
121	com	O
122	(	O
123	gs	O
124	##t	O
125	reg	O
126	no	O
127	:	O
128	000	O
129	##90	O
130	##6	O
131	##85	O
132	##44	O
133	##00	O
134	)	O
135	s	O
136	/	O
137	p	O
138	:	O
139	sales	O
140	in	O
141	##v	O
142	no	O
143	:	O
144	cs	O
145	-	O
146	000	O
147	##43	O
148	##23	O
149	05	O
150	-	O
151	jan	O
152	-	O
153	2017	O
154	03	O
155	:	O
156	17	O
157	:	O
158	50	O
159	pm	O
160	in	O
161	##vo	O
162	##ice	O
163	no	O
164	.	O
165	description	O
166	u	O
167	##om	O
168	code	O
169	q	B-TOTAL
170	##ty	I-TOTAL
171	u	I-TOTAL
172	/	I-TOTAL
173	price	I-TOTAL
174	total	O
175	(	O
176	my	O
177	##r	O
178	)	O
179	1	O
180	lion	O
181	file	O
182	6	O
183	'	O
184	s	O
185	spring	O
186	file	O
187	pcs	O
188	m	O
189	##ff	O
190	##35	O
191	##0	O
192	50	O
193	1	O
194	.	O
195	60	O
196	80	O
197	.	O
198	00	O
199	sr	O
200	discount	O
201	@	O
202	10	O
203	.	O
204	00	O
205	%	O
206	-	O
207	8	O
208	.	O
209	00	O
210	item	O
211	count	O
212	:	O
213	50	O
214	total	O
215	sales	O
216	inc	O
217	##l	O
218	.	O
219	gs	O
220	##t	O
221	@	O
222	6	O
223	%	O
224	:	O
225	72	O
226	.	O
227	00	O
228	total	O
229	amount	O
230	pay	O
231	##able	O
232	:	O
233	72	O
234	.	O
235	00	O
236	cash	O
237	received	O
238	:	O
239	100	O
240	.	O
241	00	O
242	change	O
243	:	O
244	28	O
245	.	O
246	00	O
247	gs	O
248	##t	O
249	summary	O
250	amount	O
251	(	O
252	my	O
253	##r	O
254	)	O
255	tax	O
256	(	O
257	my	O
258	##r	O
259	)	O
260	sr	O
261	=	O
262	6	O
263	%	O
264	67	O
265	.	O
266	92	O
267	4	O
268	.	O
269	08	O
270	goods	O
271	sold	O
272	are	O
273	not	O
274	return	O
275	##able	O
276	/	O
277	ref	O
278	##unda	O
279	##ble	O
280		
0	garden	B-COMPANY
1	##ia	I-COMPANY
2	baker	I-COMPANY
3	##ies	I-COMPANY
4	(	I-COMPANY
5	k	I-COMPANY
6	##l	I-COMPANY
7	)	I-COMPANY
8	sd	I-COMPANY
9	##n	I-COMPANY
10	b	I-COMPANY
11	##hd	I-COMPANY
12	(	I-COMPANY
13	139	I-COMPANY
14	##38	O
15	##6	O
16	x	O
17	)	O
18	lot	O
19	3	O
20	,	O
21	jalan	O
22	pe	B-ADDRESS
23	##lab	I-ADDRESS
24	##ur	I-ADDRESS
25	23	I-ADDRESS
26	/	I-ADDRESS
27	1	I-ADDRESS
28	,	I-ADDRESS
29	403	I-ADDRESS
30	##00	I-ADDRESS
31	shah	I-ADDRESS
32	alam	I-ADDRESS
33	,	I-ADDRESS
34	selangor	I-ADDRESS
35	.	I-ADDRESS
36	tel	I-ADDRESS
37	:	I-ADDRESS
38	03	I-ADDRESS
39	-	I-ADDRESS
40	55	I-ADDRESS
41	##42	I-ADDRESS
42	##32	I-ADDRESS
43	##28	I-ADDRESS
44	fa	O
45	##x	O
46	:	O
47	03	O
48	-	O
49	55	O
50	##42	O
51	##32	O
52	##13	O
53	gs	O
54	##t	O
55	id	O
56	:	O
57	000	O
58	##38	O
59	##13	O
60	##9	O
61	##90	O
62	##40	O
63	tax	O
64	in	O
65	##vo	O
66	##ice	O
67	/	O
68	adjustment	O
69	note	O
70	cash	O
71	in	O
72	##v	O
73	no	O
74	.	O
75	:	O
76	77	O
77	##30	O
78	##f	O
79	##7	O
80	##10	O
81	ve	O
82	##0	O
83	##51	O
84	##4	O
85	date	O
86	:	O
87	30	O
88	/	O
89	07	O
90	/	O
91	2017	O
92	ma	O
93	##kas	O
94	##sar	O
95	fresh	O
96	market	O
97	sd	O
98	##n	O
99	b	O
100	##hd	O
101	ground	B-TOTAL
102	floor	I-TOTAL
103	,	O
104	no	O
105	.	O
106	4	O
107	&	O
108	6	O
109	,	O
110	jalan	O
111	ss	O
112	15	O
113	/	O
114	4	O
115	##b	O
116	,	O
117	475	O
118	##00	O
119	sub	O
120	##ang	O
121	jaya	O
122	,	O
123	selangor	O
124	ve	O
125	##0	O
126	##5	O
127	:	O
128	rid	O
129	##zu	O
130	##an	O
131	(	O
132	119	O
133	##00	O
134	)	O
135	dd	O
136	:	O
137	30	O
138	/	O
139	07	O
140	/	O
141	2017	O
142	11	O
143	:	O
144	45	O
145	description	O
146	u	O
147	.	O
148	p	O
149	iss	O
150	ex	O
151	##c	O
152	d	O
153	sale	O
154	am	O
155	##t	O
156	(	O
157	rm	O
158	)	O
159	o	O
160	.	O
161	c	O
162	.	O
163	white	O
164	2	O
165	.	O
166	13	O
167	10	O
168	1	O
169	0	O
170	9	O
171	19	O
172	.	O
173	17	O
174	whole	O
175	##me	O
176	##al	O
177	2	O
178	.	O
179	78	O
180	5	O
181	0	O
182	0	O
183	5	O
184	13	O
185	.	O
186	90	O
187	o	O
188	.	O
189	c	O
190	ju	O
191	##mbo	O
192	2	O
193	.	O
194	97	O
195	5	O
196	3	O
197	0	O
198	2	O
199	5	O
200	.	O
201	94	O
202	total	O
203	0	O
204	%	O
205	supplies	O
206	:	O
207	39	O
208	.	O
209	01	O
210	cr	O
211	-	O
212	cho	O
213	##cl	O
214	i	O
215	0	O
216	.	O
217	72	O
218	0	O
219	8	O
220	0	O
221	-	O
222	8	O
223	-	O
224	5	O
225	.	O
226	76	O
227	t	O
228	##wig	O
229	-	O
230	cho	O
231	##c	O
232	1	O
233	.	O
234	33	O
235	0	O
236	9	O
237	0	O
238	-	O
239	9	O
240	-	O
241	11	O
242	.	O
243	97	O
244	total	O
245	6	O
246	%	O
247	supplies	O
248	(	O
249	ex	O
250	##cl	O
251	.	O
252	gs	O
253	##t	O
254	)	O
255	:	O
256	-	O
257	17	O
258	.	O
259	73	O
260	gs	O
261	##t	O
262	:	O
263	-	O
264	1	O
265	.	O
266	07	O
267	total	O
268	6	O
269	%	O
270	supplies	O
271	(	O
272	inc	O
273	.	O
274	gs	O
275	##t	O
276	)	O
277	:	O
278	-	O
279	18	O
280	.	O
281	80	O
282	total	O
283	0	O
284	%	O
285	supplies	O
286	:	O
287	39	O
288	.	O
289	01	O
290	total	O
291	pay	O
292	##able	O
293	:	O
294	20	O
295	.	O
296	21	O
297	e	O
298	.	O
299	&	O
300	.	O
301	0	O
302	.	O
303	e	O
304	.	O
305	received	O
306	above	O
307	goods	O
308	in	O
309	good	O
310	order	O
311	condition	O
312	.	O
313	the	O
314	recipient	O
315	of	O
316	garden	O
317	##ia	O
318	'	O
319	s	O
320	products	O
321	is	O
322	required	O
323	to	O
324	make	O
325	necessary	O
326	adjustments	O
327	to	O
328	its	O
329	input	O
330	tax	O
331	claims	O
332	,	O
333	on	O
334	the	O
335	basic	O
336	of	O
337	the	O
338	adjustments	O
339	shown	O
340	in	O
341	this	O
342	tax	O
343	in	O
344	##vo	O
345	##ice	O
346	/	O
347	adjustment	O
348	note	O
349	customer	O
350	'	O
351	s	O
352	copy	O
353		
0	your	O
1	order	O
2	number	O
3	is	O
4	264	O
5	golden	O
6	arches	B-COMPANY
7	restaurants	I-COMPANY
8	sd	I-COMPANY
9	##n	I-COMPANY
10	b	I-COMPANY
11	##hd	I-COMPANY
12	(	I-COMPANY
13	65	I-COMPANY
14	##35	I-COMPANY
15	##1	I-COMPANY
16	-	I-COMPANY
17	m	I-COMPANY
18	)	I-COMPANY
19	level	O
20	6	O
21	,	O
22	bang	O
23	##una	B-ADDRESS
24	##n	I-ADDRESS
25	th	I-ADDRESS
26	,	I-ADDRESS
27	dam	I-ADDRESS
28	##ans	I-ADDRESS
29	##ara	I-ADDRESS
30	uptown	I-ADDRESS
31	##3	I-ADDRESS
32	no	I-ADDRESS
33	.	I-ADDRESS
34	3	I-ADDRESS
35	,	I-ADDRESS
36	jalan	I-ADDRESS
37	ss	I-ADDRESS
38	##21	I-ADDRESS
39	/	I-ADDRESS
40	39	I-ADDRESS
41	,	I-ADDRESS
42	47	I-ADDRESS
43	##400	I-ADDRESS
44	pet	I-ADDRESS
45	##aling	I-ADDRESS
46	jaya	I-ADDRESS
47	selangor	I-ADDRESS
48	(	I-ADDRESS
49	gs	I-ADDRESS
50	##t	I-ADDRESS
51	id	I-ADDRESS
52	no	I-ADDRESS
53	:	I-ADDRESS
54	000	I-ADDRESS
55	##50	I-ADDRESS
56	##46	I-ADDRESS
57	##64	I-ADDRESS
58	##0	I-ADDRESS
59	##64	I-ADDRESS
60	)	I-ADDRESS
61	mcdonald	O
62	'	O
63	s	O
64	kota	O
65	dam	O
66	##ans	O
67	##ara	O
68	dt	O
69	(	O
70	#	O
71	178	O
72	)	O
73	tel	O
74	no	O
75	.	O
76	03	O
77	-	O
78	61	O
79	##56	O
80	-	O
81	218	O
82	##0	O
83	tax	O
84	in	O
85	##vo	O
86	##ice	O
87	m	O
88	##fy	O
89	side	O
90	1	O
91	in	O
92	##v	O
93	#	O
94	001	O
95	##7	O
96	##80	O
97	##200	O
98	##11	O
99	##21	O
100	##17	O
101	or	O
102	##d	O
103	#	O
104	64	O
105	-	O
106	reg	O
107	#	O
108	2	O
109	-	O
110	25	O
111	/	O
112	12	O
113	/	O
114	2016	O
115	13	O
116	:	O
117	51	O
118	:	O
119	47	O
120	q	O
121	##ty	O
122	item	O
123	total	O
124	2	O
125	l	O
126	file	O
127	##to	O
128	##fish	O
129	21	O
130	.	O
131	18	B-TOTAL
132	2	I-TOTAL
133	l	I-TOTAL
134	coke	I-TOTAL
135	no	I-TOTAL
136	ice	O
137	2	O
138	l	O
139	fries	O
140	1	O
141	6	O
142	##nu	O
143	##gg	O
144	##ets	O
145	7	O
146	.	O
147	10	O
148	1	O
149	barbecue	O
150	sauce	O
151	1	O
152	sam	O
153	##ll	O
154	cone	O
155	1	O
156	.	O
157	00	O
158	eat	O
159	-	O
160	in	O
161	total	O
162	(	O
163	inc	O
164	##l	O
165	gs	O
166	##t	O
167	)	O
168	29	O
169	.	O
170	28	O
171	rounding	O
172	adjust	O
173	0	O
174	.	O
175	02	O
176	total	O
177	rounded	O
178	29	O
179	.	O
180	30	O
181	cash	O
182	tender	O
183	##ed	O
184	50	O
185	.	O
186	00	O
187	change	O
188	20	O
189	.	O
190	70	O
191	total	O
192	includes	O
193	6	O
194	%	O
195	gs	O
196	##t	O
197	1	O
198	.	O
199	66	O
200	thank	O
201	you	O
202	and	O
203	please	O
204	come	O
205	again	O
206	.	O
207	customer	O
208	service	O
209	hot	O
210	##line	O
211	:	O
212	03	O
213	-	O
214	272	O
215	##6	O
216	-	O
217	560	O
218	##0	O
219		
0	welcome	O
1	to	O
2	the	O
3	family	O
4	family	O
5	##mart	B-COMPANY
6	maxi	I-COMPANY
7	##nco	O
8	##me	O
9	resources	O
10	sd	O
11	##n	O
12	b	O
13	##hd	O
14	(	O
15	38	O
16	##33	O
17	##22	O
18	-	O
19	d	O
20	)	O
21	no	O
22	16	O
23	##a	O
24	,	O
25	jalan	O
26	as	B-ADDRESS
27	##taka	I-ADDRESS
28	u	I-ADDRESS
29	##8	I-ADDRESS
30	/	I-ADDRESS
31	83	I-ADDRESS
32	,	I-ADDRESS
33	bukit	I-ADDRESS
34	je	I-ADDRESS
35	##lu	I-ADDRESS
36	##ton	I-ADDRESS
37	##g	I-ADDRESS
38	.	I-ADDRESS
39	401	I-ADDRESS
40	##50	I-ADDRESS
41	shah	I-ADDRESS
42	alam	I-ADDRESS
43	,	I-ADDRESS
44	selangor	I-ADDRESS
45	,	I-ADDRESS
46	d	I-ADDRESS
47	.	I-ADDRESS
48	e	I-ADDRESS
49	.	I-ADDRESS
50	gs	I-ADDRESS
51	##t	I-ADDRESS
52	id	I-ADDRESS
53	:	I-ADDRESS
54	000	I-ADDRESS
55	##46	I-ADDRESS
56	##85	I-ADDRESS
57	##9	I-ADDRESS
58	##46	I-ADDRESS
59	##8	I-ADDRESS
60	##8	I-ADDRESS
61	#	I-ADDRESS
62	00	I-ADDRESS
63	##23	O
64	k	O
65	##lia	O
66	##2	O
67	arrival	O
68	tel	O
69	no	O
70	:	O
71	-	O
72	tax	O
73	in	O
74	##vo	O
75	##ice	O
76	16	O
77	/	O
78	04	O
79	/	O
80	2018	O
81	16	O
82	:	O
83	28	O
84	#	O
85	00	O
86	##23	O
87	##48	O
88	##86	O
89	##3	O
90	po	O
91	##s	O
92	:	O
93	04	O
94	cs	O
95	##h	O
96	:	B-TOTAL
97	000	I-TOTAL
98	##23	I-TOTAL
99	##12	I-TOTAL
100	##2	I-TOTAL
101	staff	I-TOTAL
102	:	O
103	re	O
104	##kha	O
105	des	O
106	##c	O
107	am	O
108	##t	O
109	(	O
110	rm	O
111	)	O
112	mar	O
113	##lb	O
114	##oro	O
115	##me	O
116	##gai	O
117	##ce	O
118	##bl	O
119	##st	O
120	##box	O
121	17	O
122	.	O
123	00	O
124	##sr	O
125	alla	O
126	##ddin	O
127	silk	O
128	logo	O
129	2	O
130	.	O
131	58	O
132	1	O
133	.	O
134	80s	O
135	##r	O
136	sub	O
137	total	O
138	(	O
139	inc	O
140	gs	O
141	##t	O
142	)	O
143	18	O
144	.	O
145	80	O
146	total	O
147	18	O
148	.	O
149	80	O
150	cash	O
151	50	O
152	.	O
153	00	O
154	change	O
155	31	O
156	.	O
157	20	O
158	#	O
159	items	O
160	sold	O
161	2	O
162	tax	O
163	code	O
164	am	O
165	##t	O
166	(	O
167	rm	O
168	)	O
169	tax	O
170	(	O
171	rm	O
172	)	O
173	6	O
174	%	O
175	)	O
176	17	O
177	.	O
178	74	O
179	1	O
180	.	O
181	06	O
182	nk	O
183	you	O
184	&	O
185	please	O
186	come	O
187	again	O
188	*	O
189	*	O
190	*	O
191	be	O
192	a	O
193	part	O
194	of	O
195	our	O
196	family	O
197	today	O
198	!	O
199	facebook	O
200	:	O
201	family	O
202	##mart	O
203	##my	O
204	w	O
205	##w	O
206	.	O
207	family	O
208	##mart	O
209	.	O
210	com	O
211	.	O
212	my	O
213		
0	garden	B-COMPANY
1	##ia	I-COMPANY
2	baker	I-COMPANY
3	##ies	I-COMPANY
4	(	I-COMPANY
5	k	I-COMPANY
6	##l	I-COMPANY
7	)	I-COMPANY
8	sd	I-COMPANY
9	##n	I-COMPANY
10	b	I-COMPANY
11	##hd	I-COMPANY
12	(	I-COMPANY
13	139	I-COMPANY
14	##38	O
15	##6	O
16	x	O
17	)	O
18	lot	O
19	3	O
20	,	O
21	jalan	O
22	pe	B-ADDRESS
23	##lab	I-ADDRESS
24	##ur	I-ADDRESS
25	23	I-ADDRESS
26	/	I-ADDRESS
27	1	I-ADDRESS
28	,	I-ADDRESS
29	403	I-ADDRESS
30	##00	I-ADDRESS
31	shah	I-ADDRESS
32	alam	I-ADDRESS
33	,	I-ADDRESS
34	selangor	I-ADDRESS
35	.	I-ADDRESS
36	tel	I-ADDRESS
37	:	I-ADDRESS
38	03	I-ADDRESS
39	-	I-ADDRESS
40	55	I-ADDRESS
41	##42	I-ADDRESS
42	##32	I-ADDRESS
43	##28	I-ADDRESS
44	fa	O
45	##x	O
46	:	O
47	03	O
48	-	O
49	55	O
50	##42	O
51	##32	O
52	##13	O
53	gs	O
54	##t	O
55	id	O
56	:	O
57	000	O
58	##38	O
59	##13	O
60	##9	O
61	##90	O
62	##40	O
63	tax	O
64	in	O
65	##vo	O
66	##ice	O
67	/	O
68	adjustment	O
69	note	O
70	cash	O
71	in	O
72	##v	O
73	no	O
74	.	O
75	:	O
76	79	O
77	##18	O
78	##f	O
79	##7	O
80	##15	O
81	ve	O
82	##0	O
83	##51	O
84	##4	O
85	date	O
86	:	O
87	18	O
88	/	O
89	09	O
90	/	O
91	2017	O
92	ma	O
93	##kas	O
94	##sar	O
95	fresh	O
96	market	O
97	sd	O
98	##n	O
99	b	O
100	##hd	O
101	ground	B-TOTAL
102	floor	I-TOTAL
103	,	O
104	no	O
105	.	O
106	4	O
107	&	O
108	6	O
109	,	O
110	jalan	O
111	ss	O
112	15	O
113	/	O
114	4	O
115	##b	O
116	,	O
117	475	O
118	##00	O
119	sub	O
120	##ang	O
121	jaya	O
122	,	O
123	selangor	O
124	ve	O
125	##0	O
126	##5	O
127	:	O
128	az	O
129	##lan	O
130	(	O
131	37	O
132	##37	O
133	)	O
134	dd	O
135	:	O
136	18	O
137	/	O
138	09	O
139	/	O
140	2017	O
141	12	O
142	:	O
143	33	O
144	description	O
145	u	O
146	.	O
147	p	O
148	iss	O
149	ex	O
150	##c	O
151	d	O
152	sale	O
153	am	O
154	##t	O
155	(	O
156	rm	O
157	)	O
158	o	O
159	.	O
160	c	O
161	.	O
162	white	O
163	2	O
164	.	O
165	13	O
166	2	O
167	8	O
168	0	O
169	-	O
170	6	O
171	-	O
172	12	O
173	.	O
174	78	O
175	whole	O
176	##me	O
177	##al	O
178	2	O
179	.	O
180	78	O
181	0	O
182	1	O
183	0	O
184	-	O
185	1	O
186	-	O
187	2	O
188	.	O
189	78	O
190	o	O
191	.	O
192	c	O
193	ju	O
194	##mbo	O
195	2	O
196	.	O
197	97	O
198	2	O
199	0	O
200	0	O
201	2	O
202	5	O
203	.	O
204	94	O
205	total	O
206	0	O
207	%	O
208	supplies	O
209	:	O
210	-	O
211	9	O
212	.	O
213	62	O
214	dei	O
215	##tc	O
216	##ia	O
217	-	O
218	b	O
219	/	O
220	scotch	O
221	3	O
222	.	O
223	72	O
224	2	O
225	0	O
226	0	O
227	2	O
228	7	O
229	.	O
230	44	O
231	cr	O
232	-	O
233	cho	O
234	##cl	O
235	##t	O
236	0	O
237	.	O
238	72	O
239	10	O
240	0	O
241	0	O
242	10	O
243	7	O
244	.	O
245	20	O
246	total	O
247	6	O
248	%	O
249	supplies	O
250	(	O
251	ex	O
252	##cl	O
253	.	O
254	gs	O
255	##t	O
256	)	O
